"행정구역","2023년06월_계_총인구수","2023년06월_계_연령구간인구수","2023년06월_계_0~9세","2023년06월_계_10~19세","2023년06월_계_20~29세","2023년06월_계_30~39세","2023년06월_계_40~49세","2023년06월_계_50~59세","2023년06월_계_60~69세","2023년06월_계_70~79세","2023년06월_계_80~89세","2023년06월_계_90~99세","2023년06월_계_100세 이상"
"서울특별시 중랑구 신내2동(1126069000)","19,894","19,894","1,027","1,527","2,165","2,721","2,874","3,351","3,427","1,802","875","116","9"
"서울특별시 성북구 (1129000000)","429,142","429,142","25,023","36,022","65,284","56,844","64,772","70,597","58,041","33,244","17,090","2,165","60"
"서울특별시 성북구 성북동(1129052500)","16,062","16,062","631","1,084","2,607","2,508","2,262","2,705","2,144","1,215","773","127","6"
"서울특별시 성북구 삼선동(1129055500)","22,399","22,399","827","1,753","4,202","3,096","3,116","3,766","2,830","1,705","986","113","5"
"서울특별시 성북구 동선동(1129057500)","15,018","15,018","432","929","4,590","2,408","1,789","1,877","1,446","935","539","71","2"
"서울특별시 성북구 돈암제1동(1129058000)","14,358","14,358","699","1,109","1,851","1,880","1,877","2,601","2,319","1,288","655","77","2"
"서울특별시 성북구 돈암제2동(1129059000)","23,480","23,480","1,687","2,634","2,722","2,769","3,941","4,301","2,948","1,509","818","148","3"
"서울특별시 성북구 안암동(1129060000)","15,072","15,072","373","828","5,524","2,025","1,425","1,941","1,458","897","522","76","3"
"서울특별시 성북구 보문동(1129061000)","16,290","16,290","1,000","1,007","2,692","2,798","2,342","2,660","2,054","1,131","535","69","2"
"서울특별시 성북구 정릉제1동(1129062000)","17,846","17,846","1,254","1,656","2,203","2,395","2,942","2,858","2,326","1,392","728","91","1"
"서울특별시 성북구 정릉제2동(1129063000)","22,682","22,682","1,283","1,675","3,045","3,001","3,254","3,827","3,459","1,996","1,027","115","0"
"서울특별시 성북구 정릉제3동(1129064000)","15,112","15,112","459","967","3,394","1,797","1,599","2,286","2,258","1,447","794","109","2"
"서울특별시 성북구 정릉제4동(1129065000)","24,273","24,273","1,273","2,014","3,101","2,886","3,688","4,229","3,688","2,160","1,090","140","4"
